2025-07-27 22:13:49,UP,
2025-07-27 23:21:01,UP,
2025-07-27 23:21:07,UP,
2025-07-27 23:21:12,UP,
2025-07-27 23:21:24,UP,
2025-07-27 23:21:30,UP,
2025-07-27 23:21:35,UP,
2025-07-27 23:21:41,UP,
2025-07-27 23:26:31,UP,
2025-07-27 23:26:34,DOWN,(535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 3f1490d57ef6-e8e08f50110sm948857276.44 - gsmtp')
2025-07-27 23:27:44,UP,
2025-07-27 23:28:03,DOWN,(535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 5b1f17b1804b1-458705c4fcfsm132348425e9.29 - gsmtp')
2025-07-27 23:29:08,UP,
2025-07-27 23:29:15,DOWN,(535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials ffacd0b85a97d-3b789a31c4asm304034f8f.17 - gsmtp')
2025-07-27 23:30:21,UP,
2025-07-27 23:30:33,DOWN,(535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 5b1f17b1804b1-458705ce775sm132636605e9.32 - gsmtp')
2025-07-27 23:31:35,UP,
2025-07-27 23:31:38,DOWN,(534, b'5.7.9 Application-specific password required. For more information, go to\n5.7.9  https://support.google.com/mail/?p=InvalidSecondFactor 00721157ae682-719f23df903sm10108537b3.78 - gsmtp')
2025-07-27 23:33:19,UP,
